공원명,공원 시명,공원 구명,공원 도로명 주소,일반이용자(아침),일반이용자(낮),일반이용자(저녁),자전거,현황 일시
난지 한강공원,서울,마포구,한강난지로 22,6540,27094,23821,61284,2022-05-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,16008,39005,93880,77788,2022-05-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,9550,262343,381480,60720,2022-05-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,10110,109661,36145,114905,2022-05-31 0:00
양화 한강공원,서울,영등포구,노들로 221,,93823,143850,85870,2022-05-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,4557,85456,55294,85883,2022-05-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,10515,124950,102180,152017,2022-05-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3583,49233,36017,47567,2022-04-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,7750,120355,104236,196689,2022-04-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,35050,239600,258520,202430,2022-04-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,3235,15420,14720,41879,2022-04-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,23270,44841,76427,117516,2022-04-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,3571,28568,21808,57923,2022-04-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,81380,82910,65000,126420,2022-04-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,13930,297925,611510,65870,2022-04-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,16453,106640,87240,149930,2022-04-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,15920,84150,45320,112050,2022-04-30 0:00
양화 한강공원,서울,영등포구,노들로 221,0,58630,124477,122759,2022-04-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,1572,11396,19615,37782,2022-03-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,19855,49512,43399,89483,2022-03-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,26120,168050,177050,150160,2022-03-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,11980,47550,36090,62190,2022-03-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,12440,101240,59700,96191,2022-03-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,5040,91830,83475,130090,2022-03-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,2975,23682,32680,21135,2022-03-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,4100,41900,40480,47105,2022-03-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,1814,17308,18728,35627,2022-03-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,35241,37357,62821,2022-03-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,9280,82500,82930,158430,2022-03-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,14880,84945,59773,80238,2022-02-28 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,793,12667,8793,20724,2022-02-28 0:00
망원 한강공원,서울,마포구,마포나루길 467,15012,31535,31307,63823,2022-02-28 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,2940,27760,21345,36830,2022-02-28 0:00
여의도 한강공원,서울,영등포구,여의동로 280,2564,18145,19968,12123,2022-02-28 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,26070,183300,139610,150770,2022-02-28 0:00
잠원 한강공원,서울,강남구,강남대로 708,8600,75370,64760,123810,2022-02-28 0:00
난지 한강공원,서울,마포구,한강난지로 22,1231,11487,7151,23722,2022-02-28 0:00
광나루 한강공원,서울,강동구,선사로 83-106,12740,57020,34055,51115,2022-02-28 0:00
양화 한강공원,서울,영등포구,노들로 221,0,29555,29820,45855,2022-02-28 0:00
반포 한강공원,서울,서초구,신반포로11길 40,4420,83528,60530,99453,2022-02-28 0:00
난지 한강공원,서울,마포구,한강난지로 22,1743,12094,7931,27608,2022-01-01 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,24930,135200,117310,145510,2022-01-01 0:00
망원 한강공원,서울,마포구,마포나루길 467,17620,37140,30636,72890,2022-01-01 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3505,40924,22110,32380,2022-01-01 0:00
양화 한강공원,서울,영등포구,노들로 221,0,31144,36724,51911,2022-01-01 0:00
반포 한강공원,서울,서초구,신반포로11길 40,3350,65650,48205,65700,2022-01-01 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,1784,16194,17062,30723,2022-01-01 0:00
여의도 한강공원,서울,영등포구,여의동로 280,7693,29653,26675,24451,2022-01-01 0:00
잠실 한강공원,서울,송파구,한가람로 65,17845,87030,70595,91519,2022-01-01 0:00
광나루 한강공원,서울,강동구,선사로 83-106,15090,62510,24705,51020,2022-01-01 0:00
잠원 한강공원,서울,강남구,강남대로 708,14730,99450,90350,166205,2022-01-01 0:00
잠실 한강공원,서울,송파구,한가람로 65,15260,67240,62660,84341,2021-12-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,31650,156030,122040,173905,2021-12-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,3780,29703,28084,62226,2021-12-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,13860,47440,34360,65605,2021-12-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3380,33860,20830,48460,2021-12-31 0:00
